"('இப்பாடலை', 'தொடர்ந்து', 'பாராயனம்')",72
"('சி', 'ஐ', 'ஏ')",70
"('தொடர்ந்து', 'பாராயனம்', 'செய்தால்')",69
"('அந்தாதித்', 'தொடை', 'சென்ற')",53
"('தொடை', 'சென்ற', 'பாடல்')",52
"('என்று', 'தொடங்கியது', 'இந்தப்')",51
"('தொடங்கியது', 'இந்தப்', 'பாடல்')",50
"('பாடுவது', 'அந்தாதித்', 'தொடை')",45
"('என்று', 'நிறைய', 'இந்தப்')",45
"('நிறைய', 'இந்தப்', 'பாடல்')",45
"('அருள்', 'தாயே', 'மூலம்')",44
"('அந்தாதித்', 'தொடை', 'எதுகை')",44
"('என்று', 'நிறைய', 'அடுத்தப்')",42
"('நிறைய', 'அடுத்தப்', 'பாடல்')",42
"('என்று', 'தொடங்கும்', 'இப்படி')",41
"('தொடங்கும்', 'இப்படி', 'ஒரு')",41
"('அடுத்தப்', 'பாடலில்', 'தொடக்கத்தில்')",34
"('பாடலில்', 'தொடக்கத்தில்', 'வருமாறு')",34
"('தொடக்கத்தில்', 'வருமாறு', 'அமைத்துப்')",34
"('வருமாறு', 'அமைத்துப்', 'பாடுவது')",34
"('அமைத்துப்', 'பாடுவது', 'அந்தாதித்')",34
"('இப்படி', 'ஒரு', 'பாடலில்')",33
"('ஒரு', 'பாடலில்', 'இறுதியில்')",33
"('பாடலில்', 'இறுதியில்', 'வரும்')",33
"('இறுதியில்', 'வரும்', 'சொல்')",29
"('வரும்', 'சொல்', 'அடுத்தப்')",29
"('சொல்', 'அடுத்தப்', 'பாடலில்')",29
"('அருள்', 'புரி', 'தாயே')",28
"('வேண்டும்', 'படம்', 'படம்')",27
"('மின்புத்தகங்களைப்', 'படிக்க', 'உதவும்')",27
"('எனும்', 'உரிமத்தின்', 'கீழ்')",27
"('இருந்து', 'கி', 'மீ')",21
"('செ', 'மீ', 'நீளம்')",20
"('♣♣♣♣♣', 'மரபுக்', 'கதை')",19
"('நாம்', 'பயன்படுத்த', 'முடியும்')",19
"('படிக்க', 'உதவும்', 'கருவிகள்')",18
"('யாருக்கு', 'வேண்டுமானாலும்', 'இலவசமாக')",18
"('வேண்டுமானாலும்', 'இலவசமாக', 'வழங்கலாம்')",18
"('வெளியிடப்படும்', 'எனும்', 'உறுதியையும்')",18
"('உங்களது', 'வலைதளத்திலிருந்து', 'பதிவுகளை')",18
